trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
296,36,3,cognitive_hand,0,SPD,hand,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2716.0,2717.5,2723.8,336.0,337.5,343.8
297,37,3,cognitive_hand,0,SPD,hand,0,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2726.0,2727.0,2732.8,346.0,347.0,352.8
298,38,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2736.0,2736.5,2741.8,356.0,356.5,361.8
299,39,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2744.0,2745.5,2750.8,364.0,365.5,370.8
300,40,3,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,2754.0,2755.5,2761.3,374.0,375.5,381.3
301,41,3,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2764.0,2765.5,2771.8,384.0,385.5,391.8
302,42,3,cognitive_hand,1,SPD,hand,1,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,2774.0,2775.5,2781.8,394.0,395.5,401.8
303,43,3,cognitive_hand,0,ACC,hand,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,2784.0,2785.5,2790.3,404.0,405.5,410.3
304,44,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2794.0,2794.0,2799.8,414.0,414.0,419.8
305,45,3,cognitive_hand,1,ACC,hand,3,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2802.0,2803.0,2807.8,422.0,423.0,427.8
306,46,3,cognitive_hand,1,ACC,hand,3,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,2810.0,2811.5,2816.8,430.0,431.5,436.8
307,47,3,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2820.0,2820.5,2825.3,440.0,440.5,445.3
308,48,3,cognitive_hand,1,ACC,hand,3,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2828.0,2828.5,2834.8,448.0,448.5,454.8
309,49,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2838.0,2838.5,2843.8,458.0,458.5,463.8
310,50,3,cognitive_hand,1,ACC,hand,3,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,2846.0,2847.0,2852.3,466.0,467.0,472.3
311,51,3,cognitive_hand,0,ACC,hand,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2856.0,2856.0,2860.8,476.0,476.0,480.8
312,52,3,cognitive_hand,0,SPD,hand,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,2864.0,2864.5,2869.8,484.0,484.5,489.8
313,53,3,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,2872.0,2872.5,2877.3,492.0,492.5,497.3
314,54,3,cognitive_hand,0,ACC,hand,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2880.0,2880.5,2886.3,500.0,500.5,506.3
315,55,3,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2890.0,2890.0,2895.8,510.0,510.0,515.8
316,56,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2898.0,2898.0,2904.3,518.0,518.0,524.3
317,57,3,cognitive_hand,1,SPD,hand,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,2908.0,2908.0,2914.3,528.0,528.0,534.3
318,58,3,cognitive_hand,0,ACC,hand,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2918.0,2919.0,2924.8,538.0,539.0,544.8
319,59,3,cognitive_hand,1,ACC,hand,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,2928.0,2929.0,2935.3,548.0,549.0,555.3
320,60,3,cognitive_hand,1,SPD,hand,1,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,2938.0,2939.0,2944.8,558.0,559.0,564.8
321,61,3,cognitive_hand,1,SPD,hand,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2948.0,2949.0,2953.8,568.0,569.0,573.8
322,62,3,cognitive_hand,1,ACC,hand,3,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,2956.0,2956.5,2962.8,576.0,576.5,582.8
323,63,3,cognitive_hand,0,ACC,hand,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,2966.0,2967.0,2971.8,586.0,587.0,591.8
324,64,3,cognitive_hand,1,SPD,hand,1,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,2974.0,2974.5,2980.3,594.0,594.5,600.3
325,65,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,2984.0,2984.0,2988.8,604.0,604.0,608.8
326,66,3,cognitive_hand,0,SPD,hand,0,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,2992.0,2992.0,2997.8,612.0,612.0,617.8
327,67,3,cognitive_hand,0,SPD,hand,0,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,3000.0,3001.5,3006.3,620.0,621.5,626.3
328,68,3,cognitive_hand,0,ACC,hand,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,3010.0,3011.0,3015.8,630.0,631.0,635.8
329,69,3,cognitive_hand,1,ACC,hand,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,3018.0,3018.0,3023.8,638.0,638.0,643.8
