trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
38,18,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,328.0,329.0,334.8,168.0,169.0,174.8
39,19,1,cognitive_eye,0,ACC,eye,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,338.0,338.5,344.3,178.0,178.5,184.3
40,20,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,348.0,349.0,354.3,188.0,189.0,194.3
41,21,1,cognitive_eye,1,ACC,eye,3,0,0.0,4.8,1.0,1.5,0,0.35,0.35,8.0,358.0,358.0,363.8,198.0,198.0,203.8
42,22,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,366.0,366.0,371.3,206.0,206.0,211.3
43,23,1,cognitive_eye,0,SPD,eye,0,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,374.0,374.5,379.3,214.0,214.5,219.3
44,24,1,cognitive_eye,1,SPD,eye,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,382.0,383.0,387.8,222.0,223.0,227.8
45,25,1,cognitive_eye,1,ACC,eye,3,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,390.0,390.5,395.3,230.0,230.5,235.3
46,26,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,398.0,399.0,405.3,238.0,239.0,245.3
47,27,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,408.0,409.5,415.8,248.0,249.5,255.8
48,28,1,cognitive_eye,0,ACC,eye,2,0,0.5,4.8,1.0,1.5,0,0.35,1.85,10.0,418.0,418.5,424.3,258.0,258.5,264.3
49,29,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,428.0,429.0,434.3,268.0,269.0,274.3
50,30,1,cognitive_eye,1,ACC,eye,3,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,438.0,438.5,443.3,278.0,278.5,283.3
51,31,1,cognitive_eye,0,SPD,eye,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,446.0,446.5,451.8,286.0,286.5,291.8
52,32,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,454.0,455.0,459.8,294.0,295.0,299.8
53,33,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,462.0,463.0,468.3,302.0,303.0,308.3
54,34,1,cognitive_eye,0,SPD,eye,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,472.0,472.5,477.8,312.0,312.5,317.8
55,35,1,cognitive_eye,1,SPD,eye,1,0,0.5,4.8,1.5,1.5,0,0.35,1.35,10.0,480.0,480.5,486.8,320.0,320.5,326.8
56,36,1,cognitive_eye,0,ACC,eye,2,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,490.0,490.0,496.3,330.0,330.0,336.3
57,37,1,cognitive_eye,0,SPD,eye,0,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,500.0,500.0,505.3,340.0,340.0,345.3
58,38,1,cognitive_eye,1,ACC,eye,3,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,508.0,509.5,515.3,348.0,349.5,355.3
59,39,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,518.0,519.0,524.8,358.0,359.0,364.8
60,40,1,cognitive_eye,1,ACC,eye,3,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,528.0,528.5,533.3,368.0,368.5,373.3
61,41,1,cognitive_eye,1,ACC,eye,3,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,536.0,537.0,541.8,376.0,377.0,381.8
62,42,1,cognitive_eye,1,SPD,eye,1,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,544.0,544.5,549.8,384.0,384.5,389.8
63,43,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,552.0,552.0,556.8,392.0,392.0,396.8
64,44,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,560.0,561.0,566.3,400.0,401.0,406.3
65,45,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,570.0,571.5,576.3,410.0,411.5,416.3
66,46,1,cognitive_eye,1,SPD,eye,1,0,0.5,4.8,0.0,1.5,0,0.35,0.85,8.0,580.0,580.5,585.3,420.0,420.5,425.3
67,47,1,cognitive_eye,0,SPD,eye,0,0,1.5,4.8,1.5,1.5,0,0.35,0.35,10.0,588.0,589.5,595.8,428.0,429.5,435.8
68,48,1,cognitive_eye,1,ACC,eye,3,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,598.0,599.0,603.8,438.0,439.0,443.8
69,49,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,606.0,607.0,611.8,446.0,447.0,451.8
70,50,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,614.0,614.0,620.3,454.0,454.0,460.3
71,51,1,cognitive_eye,0,SPD,eye,0,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,624.0,624.5,629.8,464.0,464.5,469.8
72,52,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,0.0,1.5,0,0.35,1.85,10.0,632.0,633.5,638.3,472.0,473.5,478.3
73,53,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,0.5,1.5,0,0.35,1.85,10.0,642.0,643.0,648.3,482.0,483.0,488.3
74,54,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,1.5,1.5,0,0.35,1.85,10.0,652.0,652.0,658.3,492.0,492.0,498.3
75,55,1,cognitive_eye,0,SPD,eye,0,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,662.0,662.0,667.3,502.0,502.0,507.3
76,56,1,cognitive_eye,0,ACC,eye,2,0,1.0,4.8,1.0,1.5,0,0.35,1.35,10.0,670.0,671.0,676.8,510.0,511.0,516.8
